tag number,Running bleed,Latest Bleed,Earliest bleed,Bleed point in range,weeks age at bleed,Gender,bleed number,latest bleed number,Lookup number,Countif included,Parameter bleed list,Grouped genotype,Date of Bleed,Tag trimmed,Combined name & treatment,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),0,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),0,Treatment,Days post treatment,Unique note,aus,Date of bleed,Status,Unique mouse number
23472 >12 - 24,23472 >12 - 24-1,23472 >12 - 24-1,23472 >12 - 24-1,yes,14.7,Male,1,1,223,1,23472 >12 - 24-1,WT (mixed) >12 - 24,12/1/17,23472,Brca1f/+; Cbpf/f,8/20/17,11.02,1.76,8.78,0.46,0.02,10.23,15,46.5,45.5,14.7,32.3,18.1,837,4.5,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23472
23511 >12 - 24,23511 >12 - 24-1,23511 >12 - 24-1,23511 >12 - 24-1,yes,13.5,Female,1,1,,,23511 >12 - 24-1,Vav-cre; Cbpf/+ >12 - 24,12/1/17,23511,Vav-cre; Cbpf/+,8/28/17,7.2,1.15,5.72,0.3,0.02,9,13.9,41.7,46.3,15.4,33.3,18.5,474,4.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23522 >12 - 24,23522 >12 - 24-1,23522 >12 - 24-1,23522 >12 - 24-1,yes,13.2,Male,1,1,,,23522 >12 - 24-1,Vav-cre; Brca1f/+; Cbpf/+ >12 - 24,12/1/17,23522,Vav-cre; Brca1f/+; Cbpf/+,8/30/17,7.7,1,6.02,0.64,0.03,10.08,14.6,46.2,45.8,14.5,31.6,18,648,4.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23523 >12 - 24,23523 >12 - 24-1,23523 >12 - 24-1,23523 >12 - 24-1,yes,13.2,Male,1,1,224,1,23523 >12 - 24-1,WT (mixed) >12 - 24,12/1/17,23523,Brca1f/+; Cbpf/f,8/30/17,15.42,2.58,12.45,0.37,0.01,10.98,17,52.6,47.9,15.5,32.3,18.3,866,4.4,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23660 >8 - 12,23660 >8 - 12-1,23660 >8 - 12-1,23660 >8 - 12-1,yes,10.4,Male,1,1,,,23660 >8 - 12-1,Vav-cre; Cbpf/+ >8 - 12,12/1/17,23660,Vav-cre; Cbpf/+,9/19/17,12.1,1.92,9.47,0.68,0.03,9.05,14.1,45.3,50.1,15.6,31.1,19.6,533,4.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23660
23661 >8 - 12,23661 >8 - 12-1,23661 >8 - 12-1,23661 >8 - 12-1,yes,10.4,Male,1,1,,,23661 >8 - 12-1,Vav-cre; Brca1f/f; Cbpf/+ >8 - 12,12/1/17,23661,Vav-cre; Brca1f/f; Cbpf/+,9/19/17,0.58,0.06,0.45,0.07,0,4.96,8.5,32,64.5,17.1,26.6,43.3,303,7.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23661
23682 >8 - 12,23682 >8 - 12-1,23682 >8 - 12-1,23682 >8 - 12-1,yes,9.5,Female,1,1,,,23682 >8 - 12-1,Vav-cre; Cbpf/+ >8 - 12,12/1/17,23682,Vav-cre; Cbpf/+,9/25/17,8.2,1.22,6.07,0.89,0.01,8.8,13.6,42.4,48.2,15.5,32.1,18.3,627,4.9,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23683 >8 - 12,23683 >8 - 12-1,23683 >8 - 12-1,23683 >8 - 12-1,yes,9.5,Female,1,1,225,1,23683 >8 - 12-1,WT (mixed) >8 - 12,12/1/17,23683,Cbpf/f,9/25/17,11.86,2.24,9.11,0.48,0.02,9.57,15,44.8,46.8,15.7,33.5,18.1,695,4.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,
23782 -4-8,23782 -4-8-1,23782 -4-8-1,23782 -4-8-1,yes,7.4,Male,1,1,,,23782 -4-8-1,Vav-cre; Brca1f/+ (mixed) -4-8,12/1/17,23782,Vav-cre; Brca1f/+ (Cbp+/+),10/10/17,9.78,1.63,7.64,0.32,0.11,9.49,15.2,41.4,43.6,16,36.7,17.9,474,4.7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23782
23784 -4-8,23784 -4-8-1,23784 -4-8-1,23784 -4-8-1,yes,7.4,Male,1,1,,,23784 -4-8-1,Vav-cre; Brca1f/f; Cbpf/+ -4-8,12/1/17,23784,Vav-cre; Brca1f/f; Cbpf/+,10/10/17,2.28,0.85,1.26,0.15,0.01,8.28,14.6,45.2,54.6,17.6,32.3,18,517,5.4,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23784
23862 -4-8,23862 -4-8-1,23862 -4-8-1,23862 -4-8-1,yes,5.5,Female,1,1,,,23862 -4-8-1,Vav-cre; Brca1f/+; Cbpf/+ -4-8,12/1/17,23862,Vav-cre; Brca1f/+; Cbpf/+,10/23/17,10.12,1.45,7.82,0.83,0.01,9.62,15.6,48.2,50.1,16.2,32.4,20.8,642,4.5,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23862
23863 -4-8,23863 -4-8-1,23863 -4-8-1,23863 -4-8-1,yes,5.5,Female,1,1,226,1,23863 -4-8-1,WT (mixed) -4-8,12/1/17,23863,Brca1f/f; Cbpf/+,10/23/17,11.78,2.07,9.28,0.42,0.01,9.8,15.3,45.5,46.4,15.6,33.6,21.1,638,4.5,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23863
23865 -4-8,23865 -4-8-1,23865 -4-8-1,23865 -4-8-1,yes,5.5,Female,1,1,,,23865 -4-8-1,Vav-cre; Brca1f/f; Cbpf/+ -4-8,12/1/17,23865,Vav-cre; Brca1f/f; Cbpf/+,10/23/17,1.56,0.32,1.08,0.14,0.02,7.23,13.2,41.9,57.9,18.3,31.5,21.5,361,5.7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23865
23866 -4-8,23866 -4-8-1,23866 -4-8-1,23866 -4-8-1,yes,5.5,Female,1,1,,,23866 -4-8-1,Vav-cre; Brca1f/+; Cbpf/f -4-8,12/1/17,23866,Vav-cre; Brca1f/+; Cbpf/f,10/23/17,12.56,5.12,5.7,1.5,0.18,8.35,14.1,42.9,51.4,16.9,32.9,20.9,558,6.1,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23866
23870 -4-8,23870 -4-8-1,23870 -4-8-1,23870 -4-8-1,yes,5.2,Female,1,1,,,23870 -4-8-1,Vav-cre; Brca1f/f; Cbpf/+ -4-8,12/1/17,23870,Vav-cre; Brca1f/f; Cbpf/+,10/25/17,1.46,0.24,1.05,0.15,0.01,6.95,12.6,40.7,58.6,18.1,31,23.6,379,5.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23870
23871 -4-8,23871 -4-8-1,23871 -4-8-1,23871 -4-8-1,yes,5.2,Female,1,1,227,1,23871 -4-8-1,WT (mixed) -4-8,12/1/17,23871,Cbpf/+,10/25/17,10.08,1.08,8.62,0.37,0.01,9.67,14.7,46.1,47.7,15.2,31.9,20.3,587,4.5,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23871
23944 -4-8,23944 -4-8-1,23944 -4-8-1,23944 -4-8-1,yes,4.4,Female,1,1,,,23944 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,12/1/17,23944,Vav-cre; Cbpf/f,10/31/17,7.82,2.36,3.91,1.51,0.03,7.46,11.1,34.5,46.3,14.9,32.2,31.5,783,5.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23944
23945 -4-8,23945 -4-8-1,23945 -4-8-1,23945 -4-8-1,yes,4.4,Female,1,1,228,1,23945 -4-8-1,WT (mixed) -4-8,12/1/17,23945,Cbpf/+,10/31/17,7.2,1.22,5.45,0.51,0.02,8.56,13.4,42.8,50,15.7,31.3,24.7,743,4.7,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23945
23946 -4-8,23946 -4-8-1,23946 -4-8-1,23946 -4-8-1,yes,4.4,Male,1,1,,,23946 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,12/1/17,23946,Vav-cre; Cbpf/f,10/31/17,15.64,2.2,11.97,1.35,0.11,5.87,7.7,29,49.4,13.1,26.6,41.5,666,7.3,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23946
23947 -4-8,23947 -4-8-1,23947 -4-8-1,23947 -4-8-1,yes,4.4,Male,1,1,229,1,23947 -4-8-1,WT (mixed) -4-8,12/1/17,23947,Cbpf/f,10/31/17,9.46,1.87,7.2,0.37,0.03,8.33,13.5,42.1,50.5,16.2,32.1,20.6,778,4.6,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23947
23948 -4-8,23948 -4-8-1,23948 -4-8-1,23948 -4-8-1,yes,4.4,Male,1,1,,,23948 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,12/1/17,23948,Vav-cre; Cbpf/f,10/31/17,7.3,2.53,3.99,0.72,0.05,6.59,8.9,31,47,13.5,28.7,39.8,1012,6.4,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23948
23949 -4-8,23949 -4-8-1,23949 -4-8-1,23949 -4-8-1,yes,4.4,Male,1,1,,,23949 -4-8-1,Vav-cre; Cbpf/f (mixed) -4-8,12/1/17,23949,Vav-cre; Cbpf/f,10/31/17,17.24,4.32,10.92,1.54,0.4,10.92,10.3,33.8,48.9,14.9,30.5,35.4,319,6.8,Vav; Brca1; Cbp colony NON-Tx bleeds,#N/A,#N/A,,Vav; Brca1; Cbp colony NON-Tx bleeds,43070,,23949
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
23654 >8 - 12,23654 >8 - 12-1,23654 >8 - 12-1,23654 >8 - 12-1,yes,11.5,Female,1,1,,,23654 >8 - 12-1,WT (pure) >8 - 12,12/8/17,23654,WT (Motlu),9/18/17,3.3,0.1,3.02,0.18,,11.46,17.1,49.3,43,14.9,34.7,18.2,685,4.6,Motlu colony NON-Tx bleeds,#N/A,#N/A,221,Motlu colony NON-Tx bleeds,43077,,23654
23655 >8 - 12,23655 >8 - 12-1,23655 >8 - 12-1,23655 >8 - 12-1,yes,11.5,Female,1,1,,,23655 >8 - 12-1,Brca15382insC/+ >8 - 12,12/8/17,23655,Brca15382insC/+,9/18/17,6.24,0.81,5.17,0.25,,9.89,15.7,44.3,44.8,15.9,35.4,17.5,717,4.4,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43077,,23655
23657 >8 - 12,23657 >8 - 12-1,23657 >8 - 12-1,23657 >8 - 12-1,yes,11.5,Female,1,1,,,23657 >8 - 12-1,WT (pure) >8 - 12,12/8/17,23657,WT (Motlu),9/18/17,7.44,0.84,6.29,0.31,,9.57,15.2,43.4,45.4,15.9,35,18.1,651,4,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43077,,23657
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
24054 -4-8,24054 -4-8-1,24054 -4-8-1,24054 -4-8-1,yes,4,Female,1,1,,,24054 -4-8-1,Vav-cre; Brca1f/f; Cbpf/f -4-8,12/13/17,24054,Vav-cre; Brca1f/f; Cbpf/f,11/15/17,0.46,0.07,0.32,0.07,0,6.35,10.8,39.4,62,17,27.4,25.2,258,7.4,terminal bleeds,#N/A,#N/A,,terminal bleeds,43082,,24054
,,,,,3.2,,,,,,,Vav-cre; Brca1f/+; Cbpf/+ (exclude),12/21/17,24210,Vav-cre; Brca1f/+; Cbpf/+ ***,11/28/17,5.62,0.38,4.54,0.69,0,1.01,1.5,5.5,54.1,14.9,27.3,47.8,627,6.8,terminal bleeds,#N/A,#N/A,,terminal bleeds,43090,,24210
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,46.8,,,,,,,Vav-cre; Brca1f/+; Becn+/-,12/29/17,22098,Vav-cre; Brca1f/+; Becn+/-,2/4/17,9.86,1.87,7.36,0.44,,10.56,15.7,47,44.5,14.9,33.4,18,769,4.9,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,22098
,,,,,45.1,,,,,,,vav-cre; brca1f/+ (pure),12/29/17,22180,Vav-cre; Brca1f/+,2/16/17,11.44,3.31,7.73,0.37,,10.38,16.1,46.2,44.5,15.5,34.8,19.3,1135,4.8,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,22180
,,,,,43.4,,,,,,,Vav-cre; Becn+/-,12/29/17,22269,Vav-cre; Becn+/-,2/28/17,14.58,2.54,10.94,1.04,,8.94,13.9,40.9,45.7,15.5,34,17.6,833,4.8,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,22269
23563 >12 - 24,23563 >12 - 24-1,,23563 >12 - 24-1,yes,17.1,Male,1,2,,,23563 >12 - 24-1,Vav-cre; Brca1f/+; Becn+/- >12 - 24,12/29/17,23563,Vav-cre; Brca1f/+; Becn+/-,8/31/17,10.64,1.6,8.27,0.66,,10.08,15.6,49.5,49.1,15.5,31.5,17.6,701,4.8,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,
23564 >12 - 24,23564 >12 - 24-1,,23564 >12 - 24-1,yes,17.1,Male,1,2,,,23564 >12 - 24-1,Vav-cre; Brca1f/+; Becn+/- >12 - 24,12/29/17,23564,Vav-cre; Brca1f/+; Becn+/-,8/31/17,11.58,1.43,9.31,0.8,,10.51,15.2,47.7,45.4,14.5,31.9,17.6,852,4.7,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,
23726 >12 - 24,23726 >12 - 24-1,23726 >12 - 24-1,23726 >12 - 24-1,yes,13.2,Male,1,1,,,23726 >12 - 24-1,Vav-cre; Brca1f/+; Becn+/- >12 - 24,12/29/17,23726,Vav-cre; Brca1f/+; Becn+/-,9/27/17,10.64,1.9,8.32,0.36,,10.25,16.4,48.3,47.1,16,34,18.8,546,4.4,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,23726
23938 >8 - 12,23938 >8 - 12-1,23938 >8 - 12-1,23938 >8 - 12-1,yes,8.5,Female,1,1,,,23938 >8 - 12-1,Vav-cre; Brca1f/+ (mixed) >8 - 12,12/29/17,23938,Vav-cre; Brca1f/+ (Becn),10/30/17,11.78,2.69,8.68,0.35,,10.97,16.1,50,45.6,14.7,32.2,18,853,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,23938
24113 -4-8,24113 -4-8-1,24113 -4-8-1,24113 -4-8-1,yes,6.1,Male,1,1,,,24113 -4-8-1,Vav-cre (Becn) -4-8,12/29/17,24113,Vav-cre (Becn),11/16/17,9.96,1.34,7.89,0.67,,9.23,14.9,46.4,50.3,16.1,32.1,16.8,805,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24113
24114 -4-8,24114 -4-8-1,24114 -4-8-1,24114 -4-8-1,yes,5.4,Male,1,1,,,24114 -4-8-1,Vav-cre; Becn+/- -4-8,12/29/17,24114,Vav-cre; Becn+/-,11/21/17,11.74,1.64,9.68,0.37,,9.48,15.6,48.6,51.3,16.5,32.1,18.3,785,4.3,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24114
24115 -4-8,24115 -4-8-1,24115 -4-8-1,24115 -4-8-1,yes,5.4,Male,1,1,,,24115 -4-8-1,Vav-cre; Becn+/- -4-8,12/29/17,24115,Vav-cre; Becn+/-,11/21/17,9.8,1.44,7.83,0.51,,9.62,14.8,46.3,48.1,15.4,32,19.5,685,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24115
24117 -4-8,24117 -4-8-1,24117 -4-8-1,24117 -4-8-1,yes,5.4,Female,1,1,,,24117 -4-8-1,Vav-cre; Becn+/- -4-8,12/29/17,24117,Vav-cre; Becn+/-,11/21/17,13.64,2.32,10.71,0.55,,9.74,15.5,48.2,49.5,15.9,32.2,20.2,650,4.3,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24117
24196 -4-8,24196 -4-8-1,24196 -4-8-1,24196 -4-8-1,yes,4.7,Female,1,1,,,24196 -4-8-1,Vav-cre (Becn) -4-8,12/29/17,24196,Vav-cre (Becn),11/26/17,8.02,1.06,6.55,0.39,,9.67,15.4,48.5,50.2,15.9,31.8,21.5,618,4.3,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24196
24197 -4-8,24197 -4-8-1,24197 -4-8-1,24197 -4-8-1,yes,4.7,Male,1,1,,,24197 -4-8-1,Vav-cre; Brca1f/f; Becn+/- -4-8,12/29/17,24197,Vav-cre; Brca1f/f; Becn+/-,11/26/17,1.12,0.14,0.8,0.17,,5.5,10.9,34.8,63.2,19.8,31.3,23.5,416,5.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24197
24198 -4-8,24198 -4-8-1,24198 -4-8-1,24198 -4-8-1,yes,4.7,Male,1,1,,,24198 -4-8-1,Vav-cre (Becn) -4-8,12/29/17,24198,Vav-cre (Becn),11/26/17,7,0.78,5.75,0.47,,9.76,15.2,48.5,49.7,15.6,31.3,21.1,793,4.6,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24198
24199 -4-8,24199 -4-8-1,24199 -4-8-1,24199 -4-8-1,yes,4.7,Male,1,1,,,24199 -4-8-1,Vav-cre; Brca1f/+ (mixed) -4-8,12/29/17,24199,Vav-cre; Brca1f/+ (Becn),11/26/17,10.02,1.19,8.2,0.62,,9.1,14.7,44.7,49.1,16.2,32.9,19.2,651,4.7,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24199
24200 -4-8,24200 -4-8-1,24200 -4-8-1,24200 -4-8-1,yes,4.7,Female,1,1,,,24200 -4-8-1,Vav-cre; Brca1f/+; Becn+/- -4-8,12/29/17,24200,Vav-cre; Brca1f/+; Becn+/-,11/26/17,7.96,1.01,6.61,0.32,,9.95,15.6,46.2,46.4,15.7,33.8,19.1,559,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24200
24201 -4-8,24201 -4-8-1,24201 -4-8-1,24201 -4-8-1,yes,4.7,Female,1,1,230,1,24201 -4-8-1,Vav-cre; Brca1f/f (mixed) -4-8,12/29/17,24201,Vav-cre; Brca1f/f (Becn),11/26/17,1.22,0.09,0.99,0.14,,6.82,12.5,39.9,58.5,18.3,31.3,20.3,545,4.8,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24201
24202 -4-8,24202 -4-8-1,24202 -4-8-1,24202 -4-8-1,yes,4.7,Male,1,1,,,24202 -4-8-1,Vav-cre; Brca1f/+; Becn+/- -4-8,12/29/17,24202,Vav-cre; Brca1f/+; Becn+/-,11/26/17,8.24,0.89,6.85,0.49,,9.97,15.6,48.9,49,15.6,31.9,20.1,728,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24202
24203 -4-8,24203 -4-8-1,24203 -4-8-1,24203 -4-8-1,yes,4.7,Male,1,1,,,24203 -4-8-1,Vav-cre; Becn+/- -4-8,12/29/17,24203,Vav-cre; Becn+/-,11/26/17,11.06,1.32,9.13,0.59,,9.35,14.9,45.5,48.7,15.9,32.7,18.6,744,4.5,Beclin non-TX bleeds,#N/A,#N/A,,Beclin non-TX bleeds,43098,,24203
,,,,,,,,,,,,Genotype,Date of Bleed,out,Genotype,Date of Birth,WBC (K/ul),NE (K/ul),LY (K/ul),MO (K/ul),,RBC (M/ul),Hb (g/dL),HCT (%),MCV (fL),MCH (pg),MCHC (g/dL),RDW (%),PLT (K/ul),MPV (fL),Notes,#N/A,#N/A,,Notes,Date of Bleed,,
,,,,,47.2,,,,,,,Brca15382insC/+,12/29/17,22100,Brca15382insC/+,2/1/17,10.74,3.17,6.9,0.63,,10.13,16,45.6,45,15.8,35.1,22,1554,4.8,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,22100
,,,,,47.2,,,,,,,Brca15382insC/+,12/29/17,22101,Brca15382insC/+,2/1/17,12.34,3.9,7.77,0.6,,9.79,14.6,42.2,43.1,14.9,34.6,18.1,1487,4.8,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,22101
,,,,,38.4,,,,,,,Brca15382insC/+,12/29/17,22468,Brca15382insC/+,4/4/17,11.62,2.34,8.8,0.45,,10.26,15.2,42.8,41.7,14.8,35.5,17.3,1050,4.5,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,22468
23378 >12 - 24,23378 >12 - 24-1,23378 >12 - 24-1,23378 >12 - 24-1,yes,20.4,Male,1,1,,,23378 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23378,Brca15382insC/+,8/8/17,13.78,2.1,11.19,0.47,,11,16.4,50,45.5,14.9,32.8,17.6,812,4.5,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23378
23379 >12 - 24,23379 >12 - 24-1,23379 >12 - 24-1,23379 >12 - 24-1,yes,20.4,Male,1,1,,,23379 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23379,Brca15382insC/+,8/8/17,9.98,1.61,7.66,0.53,,9.32,14.6,42.4,45.5,15.7,34.4,18.3,574,4.8,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23379
23380 >12 - 24,23380 >12 - 24-1,23380 >12 - 24-1,23380 >12 - 24-1,yes,20.4,Male,1,1,,,23380 >12 - 24-1,WT (pure) >12 - 24,12/29/17,23380,WT (Motlu),8/8/17,12.78,2.2,10.21,0.35,,10.46,15.6,48.6,46.5,14.9,32.1,17.7,844,4.4,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23380
23381 >12 - 24,23381 >12 - 24-1,23381 >12 - 24-1,23381 >12 - 24-1,yes,20.4,Male,1,1,,,23381 >12 - 24-1,WT (pure) >12 - 24,12/29/17,23381,WT (Motlu),8/8/17,11.7,2.31,9.03,0.35,,10.76,16.7,51.3,47.7,15.5,32.6,19,950,4.7,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23381
23497 >12 - 24,23497 >12 - 24-1,23497 >12 - 24-1,23497 >12 - 24-1,yes,17.8,Male,1,1,,,23497 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23497,Brca15382insC/+,8/26/17,10.8,1.72,8.46,0.58,,10.39,14.9,44.8,43.1,14.3,33.3,17.7,898,4.7,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23497
23498 >12 - 24,23498 >12 - 24-1,23498 >12 - 24-1,23498 >12 - 24-1,yes,17.8,Male,1,1,,,23498 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23498,Brca15382insC/+,8/26/17,11.26,2.04,8.91,0.28,,10.26,15.6,46,44.8,15.2,33.9,17.9,1001,4.7,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23498
23499 >12 - 24,23499 >12 - 24-1,23499 >12 - 24-1,23499 >12 - 24-1,yes,17.8,Male,1,1,,,23499 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23499,Brca15382insC/+,8/26/17,11.02,1.56,9.01,0.45,,10.61,16.1,47.3,44.6,15.2,34,18,940,4.8,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23499
23500 >12 - 24,23500 >12 - 24-1,23500 >12 - 24-1,23500 >12 - 24-1,yes,17.8,Male,1,1,,,23500 >12 - 24-1,WT (pure) >12 - 24,12/29/17,23500,WT (Motlu),8/26/17,10.18,1.73,7.97,0.37,,10.17,15.4,44.2,43.6,15.2,34.8,17,788,4.7,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23500
23501 >12 - 24,23501 >12 - 24-1,23501 >12 - 24-1,23501 >12 - 24-1,yes,17.8,Male,1,1,,,23501 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23501,Brca15382insC/+,8/26/17,7.62,1.23,6.02,0.34,,10.01,15.4,44,44,15.4,35,16.5,691,4.7,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23501
23537 >12 - 24,23537 >12 - 24-1,23537 >12 - 24-1,23537 >12 - 24-1,yes,18.1,Male,1,1,,,23537 >12 - 24-1,Brca15382insC/+ >12 - 24,12/29/17,23537,Brca15382insC/+,8/24/17,10.8,1.71,8.64,0.4,,9.98,15.3,44.6,44.7,15.3,34.3,17.5,974,4.6,Motlu colony NON-Tx bleeds,#N/A,#N/A,,Motlu colony NON-Tx bleeds,43098,,23537
